,TMIN,TMAX,PRCP,SNOW
1968-01-01,-115.33878048780488,3.947291361639824,39816.0,23258.0
1968-01-02,-113.90531400966184,-9.63189738625363,26888.5,10403.0
1968-01-03,-106.52243125904486,1.5559036144578313,37968.5,8324.0
1968-01-04,-107.6901204819277,9.064306358381502,48743.0,7805.5
1968-01-05,-121.31400384985562,10.06099324975892,24230.0,15699.0
1968-01-06,-133.835828102366,-13.962300628322861,46120.0,8249.5
1968-01-07,-153.8009214354995,-25.71931101407084,34368.5,17254.5
1968-01-08,-142.28158148505304,-21.007951807228917,23633.0,9461.5
1968-01-09,-105.76515880654476,-0.31991321118611377,83661.5,16897.5
1968-01-10,-87.85672937771346,14.462855764592378,125717.5,14472.5
1968-01-11,-87.05882352941177,12.66304872165943,37128.5,12805.0
1968-01-12,-106.02745664739885,3.3903085824493733,20801.0,17357.0
1968-01-13,-101.90608401738291,16.568005808325267,51230.5,23487.0
1968-01-14,-80.95280735721201,35.38122883405902,75140.5,18274.5
1968-01-15,-72.23062108810785,43.185301204819275,59501.5,14447.5
1968-01-16,-82.18238691049086,53.19812229176697,16363.5,5895.5
1968-01-17,-71.58020231213872,63.44939759036144,15372.0,2839.5
1968-01-18,-56.70616570327553,74.35036144578314,37102.0,2067.5
1968-01-19,-43.052123552123554,87.08851905451037,48851.0,2247.0
1968-01-20,-28.73462469733656,99.86997578692494,39741.5,844.0
1968-01-21,-22.853652636671505,107.13322050290135,37845.0,1250.0
1968-01-22,-21.61025517573423,99.19518072289156,30535.0,2335.5
1968-01-23,-37.61712361712362,84.43725961538462,29378.0,3210.5
1968-01-24,-53.96298076923077,76.35631907736665,32963.5,7327.0
1968-01-25,-53.42265060240964,72.9725168756027,8938.5,5665.0
1968-01-26,-53.220212252773756,73.69373493975904,15453.5,13932.5
1968-01-27,-37.29681467181467,67.05550193050193,33040.0,19561.5
1968-01-28,-22.434235976789168,75.46665055582407,50991.5,15224.0
1968-01-29,-34.0026455026455,84.8949013949014,63246.0,15146.5
1968-01-30,-33.615440115440116,89.31048581048582,79828.0,16585.5
1968-01-31,-8.95566265060241,91.69171483622351,42701.0,11340.0
1968-02-01,-13.718659594985535,92.11988444872412,56310.0,3206.5
1968-02-02,-33.60370548604428,93.70543008169149,92496.5,8890.5
1968-02-03,-38.78177863702272,93.28019323671498,44889.5,6191.5
1968-02-04,-41.65302663438257,91.02323330106486,17405.0,1902.0
1968-02-05,-44.815358690418876,95.36567164179104,6753.5,1851.0
1968-02-06,-47.357348703170025,91.16954851104707,10670.5,2885.5
1968-02-07,-58.55684007707129,79.109375,8934.5,4806.5
1968-02-08,-61.68358999037536,68.31656234954261,6046.5,1404.0
1968-02-09,-67.36017357762778,65.47783132530121,8593.5,2351.5
1968-02-10,-72.80199222546162,48.48522286821706,15641.5,6482.0
1968-02-11,-85.56997578692494,34.39017900338655,14383.0,5411.0
1968-02-12,-87.36254212806934,25.74,16869.5,12648.5
1968-02-13,-89.68695861405197,14.878423834694859,24782.0,13204.5
1968-02-14,-89.126204238921,24.26372832369942,26385.0,10130.5
1968-02-15,-67.98027898027898,41.98558385391639,24851.5,6399.5
1968-02-16,-70.88739172281039,55.23978856319077,10182.5,2628.5
1968-02-17,-79.4582931533269,46.63917028461167,31980.5,4562.5
1968-02-18,-68.47777777777777,45.77616980221901,43932.5,5323.5
1968-02-19,-50.77657527657528,66.2092352092352,55499.0,4874.5
1968-02-20,-51.85972088546679,73.99759615384616,45488.5,11626.0
1968-02-21,-84.42315081652258,44.6819491118579,50681.0,13662.0
1968-02-22,-83.27358036573628,24.96244583533943,40287.0,9809.0
1968-02-23,-66.9102934102934,49.27884615384615,43872.0,8576.0
1968-02-24,-58.91172214182345,77.08461909353906,14986.0,3104.5
1968-02-25,-48.1381228834059,94.66553890768488,9204.0,3661.5
1968-02-26,-35.05287300820859,102.38648388648389,7597.5,950.5
1968-02-27,-25.499037999038,101.34822286263208,10293.0,4658.0
1968-02-28,-33.62367915465898,91.50576092174748,33534.0,9371.5
1968-02-29,-55.33582810236601,86.20722891566265,53121.0,13086.0
1968-03-01,-41.1590250965251,106.25867052023122,24124.0,14126.0
1968-03-02,-34.62554638173871,109.65390208434319,6309.0,3332.0
1968-03-03,-54.436954413191074,103.96805421103582,9173.0,2155.5
1968-03-04,-41.122764620589656,124.52072289156627,6693.5,415.5
1968-03-05,-14.68421052631579,136.1875300914781,15499.0,1665.0
1968-03-06,-12.258570738773539,127.20139893873613,22252.0,1061.0
1968-03-07,-14.689130434782609,126.89840733590734,19741.5,2617.0
1968-03-08,1.8051257253384914,138.2876811594203,43121.5,3773.5
1968-03-09,19.109117361784676,135.62378875968992,41136.0,6060.0
1968-03-10,11.8926320891905,118.0542372881356,73225.5,10169.0
1968-03-11,-18.137723106608778,99.37301204819278,76683.5,8828.0
1968-03-12,-32.96376811594203,91.64739884393063,168361.0,17528.0
1968-03-13,-43.33076552720269,91.9992784992785,83896.5,17259.5
1968-03-14,-28.057004830917876,105.20433734939759,24443.0,7610.0
1968-03-15,-6.5973429951690825,133.83389585342334,22804.5,1651.5
1968-03-16,14.397286821705427,153.9130750605327,48959.5,1462.0
1968-03-17,24.262008733624455,158.65062862669245,69466.5,6895.0
1968-03-18,26.157094594594593,146.97930702598651,54408.0,10693.0
1968-03-19,10.688733750601829,140.93152330610283,57271.0,8185.5
1968-03-20,-3.7639557266602504,129.5899470899471,74715.5,7727.5
1968-03-21,-20.27879518072289,111.07032755298651,73048.0,7256.0
1968-03-22,-25.950120481927712,104.59620009620009,80841.5,13538.5
1968-03-23,-33.549081237911025,120.8733108108108,63314.0,16162.5
1968-03-24,-17.474104549854793,141.32165297245047,20469.0,5299.0
1968-03-25,2.567502410800386,163.74915662650602,20062.5,1451.0
