,TMIN,TMAX,PRCP,SNOW,line1,line2,line3
1968-01-01,,,,,1,2,3
1968-01-02,,,,,1,2,3
1968-01-03,,,,,1,2,3
1968-01-04,,,,,1,2,3
1968-01-05,,,,,1,2,3
1968-01-06,,,,,1,2,3
1968-01-07,,,,,1,2,3
1968-01-08,,,,,1,2,3
1968-01-09,,,,,1,2,3
1968-01-10,,,,,1,2,3
1968-01-11,,,,,1,2,3
1968-01-12,,,,,1,2,3
1968-01-13,,,,,1,2,3
1968-01-14,,,,,1,2,3
1968-01-15,,,,,1,2,3
1968-01-16,,,,,1,2,3
1968-01-17,,,,,1,2,3
1968-01-18,,,,,1,2,3
1968-01-19,,,,,1,2,3
1968-01-20,,,,,1,2,3
1968-01-21,,,,,1,2,3
1968-01-22,,,,,1,2,3
1968-01-23,,,,,1,2,3
1968-01-24,,,,,1,2,3
1968-01-25,,,,,1,2,3
1968-01-26,,,,,1,2,3
1968-01-27,,,,,1,2,3
1968-01-28,,,,,1,2,3
1968-01-29,,,,,1,2,3
1968-01-30,,,,,1,2,3
1968-01-31,3.0,3.0,2.0,1.0,1,2,3
1968-02-01,3.0147420789365573,3.0213007881373106,2.012521080074106,0.9416543606829275,1,2,3
1968-02-02,3.026391471214257,3.046265081938862,2.0623260407568975,0.9372533044294267,1,2,3
1968-02-03,3.0362186396863455,3.068423891064044,2.0675799752296085,0.9310481788356478,1,2,3
1968-02-04,3.0457986720823724,3.0882235779921943,2.0437903785664373,0.9138702379480166,1,2,3
1968-02-05,3.0568963666685613,3.1088315335703576,2.0305234538716928,0.8735754762961293,1,2,3
1968-02-06,3.069441840521727,3.134229348997989,2.0036126967426138,0.8579673667134657,1,2,3
1968-02-07,3.0832589443914102,3.1595539260952403,1.984304999967737,0.8217463100234965,1,2,3
1968-02-08,3.0949513330867133,3.1811329960182766,1.9709545710406564,0.7983006830730285,1,2,3
1968-02-09,3.100522762433852,3.1970284547681445,1.9139682463769603,0.755974888518699,1,2,3
1968-02-10,3.1027067602633926,3.205247598702001,1.8304063202076066,0.7327242174485513,1,2,3
1968-02-11,3.102922748108629,3.2104964519199815,1.8131395427839627,0.7112092356711065,1,2,3
1968-02-12,3.105630476074021,3.2158957038320732,1.810155025607332,0.6975084929473983,1,2,3
1968-02-13,3.1074031103677906,3.2154875336013826,1.7900771920715008,0.6675885848967389,1,2,3
1968-02-14,3.1062173918215876,3.2128017611329045,1.753065459347293,0.6438912611754094,1,2,3
1968-02-15,3.1068339909587515,3.212511932692779,1.7267616261614205,0.6204732772228971,1,2,3
1968-02-16,3.1084725612456383,3.2130051596601628,1.7220694474335163,0.6109669957153353,1,2,3
1968-02-17,3.1073296828862174,3.2089441348241783,1.7346774478221907,0.6159805626077531,1,2,3
1968-02-18,3.1056219695624367,3.2020411643989655,1.7398626810855702,0.6254548364334713,1,2,3
